Report Number,Report DateTime,Offense Parent Group,Offense,Offense Code,MCPP,Longitude,Latitude,Year,Month,Day,Hour,Minute,Location,Zipcode
2020-333179,12/01/2020 06:35:48 PM,ASSAULT OFFENSES,Intimidation,13C,MONTLAKE/PORTAGE BAY,-122.301565376,47.63524418,2020.0,12.0,1.0,18.0,10.0,"1764, Boyer Avenue East, Montlake, Washington Park, Seattle, King County, Washington, 98112, United States",98112
2020-332995,12/01/2020 04:17:14 PM,ASSAULT OFFENSES,Simple Assault,13B,ROOSEVELT/RAVENNA,-122.344497643,47.68586124,2020.0,12.0,1.0,15.0,0.0,"Schmetzer's Sporthaus, 7806, Aurora Avenue North, Greenwood, Seattle, King County, Washington, 98103, United States",98103
2020-332995,12/01/2020 04:17:14 PM,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,ROOSEVELT/RAVENNA,-122.344497643,47.68586124,2020.0,12.0,1.0,15.0,0.0,"Schmetzer's Sporthaus, 7806, Aurora Avenue North, Greenwood, Seattle, King County, Washington, 98103, United States",98103
2020-333012,12/01/2020 03:46:06 PM,ASSAULT OFFENSES,Aggravated Assault,13A,SLU/CASCADE,-122.338484568,47.61853427,2020.0,12.0,1.0,15.0,0.0,"Westlake & Denny, Westlake Avenue, South Lake Union, Belltown, Seattle, King County, Washington, 98109-5210, United States",98109-5210
2020-332886,12/01/2020 01:34:57 PM,ASSAULT OFFENSES,Simple Assault,13B,MILLER PARK,-122.312636529,47.62259527,2020.0,12.0,1.0,12.0,45.0,"416, 15th Avenue East, Capitol Hill, Seattle, King County, Washington, 98112, United States",98112
2020-332600,12/01/2020 08:31:12 AM,LARCENY-THEFT,Theft From Motor Vehicle,23F,LAKECITY,-122.292945954,47.72829075,2020.0,12.0,1.0,7.0,0.0,"3200, Northeast 137th Street, Kenwood, Lake City, Seattle, King County, Washington, 98125, United States",98125
2020-332613,12/01/2020 08:09:35 AM,WEAPON LAW VIOLATIONS,Weapon Law Violations,520,FIRST HILL,-122.32344394,47.60412808,2020.0,12.0,1.0,7.0,26.0,"Harborview Medical Center, 325, 9th Avenue, Little Saigon, Yesler Terrace, Seattle, King County, Washington, 98104, United States",98104
2020-332559,12/01/2020 05:53:21 AM,ROBBERY,Robbery,120,MID BEACON HILL,-122.288095737,47.55123027,2020.0,12.0,1.0,5.0,0.0,"ampm, South Orcas Street, Brighton, Rainier Valley, Seattle, King County, Washington, 98118, United States",98118
2020-332511,12/01/2020 04:26:46 AM,ASSAULT OFFENSES,Simple Assault,13B,QUEEN ANNE,-122.376154128,47.63965592,2020.0,12.0,1.0,2.0,50.0,"2233, 15th Avenue West, Interbay, Queen Anne, Seattle, King County, Washington, 98119, United States",98119
2020-332477,12/01/2020 01:40:12 AM,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,CENTRAL AREA/SQUIRE PARK,-122.310248796,47.60622905,2020.0,12.0,1.0,1.0,11.0,"Swedish Medical Center Cherry Hill Campus, 500, 17th Avenue, Little Saigon, Central District, Seattle, King County, Washington, 98122, United States",98122
2020-334229,12/02/2020 11:28:32 PM,ASSAULT OFFENSES,Aggravated Assault,13A,FIRST HILL,-122.324195215,47.60578655,2020.0,12.0,2.0,21.0,19.0,"Harborview Medical Center, 325, 9th Avenue, Little Saigon, Yesler Terrace, Seattle, King County, Washington, 98104, United States",98104
2020-334139,12/02/2020 07:56:21 PM,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,35A,BALLARD SOUTH,-122.384742516,47.6709122,2020.0,12.0,2.0,19.0,0.0,"Ballard, Seattle, King County, Washington, United States",
2020-334092,12/02/2020 06:33:51 PM,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,CAPITOL HILL,-122.313130839,47.62310234,2020.0,12.0,2.0,17.0,45.0,"Astor Court, 1450, East Republican Street, Capitol Hill, Seattle, King County, Washington, 98112, United States",98112
2020-334107,12/02/2020 06:20:44 PM,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,35A,BALLARD SOUTH,-122.370767448,47.66292856,2020.0,12.0,2.0,18.0,11.0,"951, Northwest Ballard Way, Phinney Ridge, Seattle, King County, Washington, 98107, United States",98107
2020-334015,12/02/2020 05:51:58 PM,ASSAULT OFFENSES,Intimidation,13C,ALKI,-122.386796464,47.59514819,2020.0,12.0,2.0,15.0,37.0,"Duwamish Head, Harbor Avenue Southwest, Seattle, King County, Washington, 98116, United States",98116
2020-334011,12/02/2020 04:37:17 PM,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,CENTRAL AREA/SQUIRE PARK,-122.312756595,47.61704124,2020.0,12.0,1.0,17.0,0.0,"1700, 15th Avenue, Capitol Hill, Seattle, King County, Washington, 98122, United States",98122
2020-334011,12/02/2020 04:37:17 PM,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,CENTRAL AREA/SQUIRE PARK,-122.312756595,47.61704124,2020.0,12.0,1.0,17.0,0.0,"1700, 15th Avenue, Capitol Hill, Seattle, King County, Washington, 98122, United States",98122
2020-333900,12/02/2020 03:01:57 PM,LARCENY-THEFT,Theft From Motor Vehicle,23F,CHINATOWN/INTERNATIONAL DISTRICT,-122.323753757,47.59834984,2020.0,12.0,2.0,13.0,35.0,"679, South King Street, Little Saigon, International District/Chinatown, Seattle, King County, Washington, 98104, United States",98104
2020-333855,12/02/2020 01:58:57 PM,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,UNIVERSITY,-122.321893977,47.65505461,2020.0,12.0,2.0,12.0,56.0,"3919, Pasadena Place Northeast, University District, Seattle, King County, Washington, 98105, United States",98105
2020-333674,12/02/2020 10:45:00 AM,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,SODO,-122.327325474,47.5923966,2020.0,12.0,2.0,9.0,27.0,"Stadium, 501, South Royal Brougham Way, International District/Chinatown, Seattle, King County, Washington, 98134, United States",98134
2020-336618,12/02/2020 10:01:45 AM,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,MONTLAKE/PORTAGE BAY,-122.319532093,47.64135492,2020.0,12.0,2.0,4.0,30.0,"1005, East Miller Street, Seattle, King County, Washington, 98102, United States",98102
2020-333649,12/02/2020 09:53:02 AM,ASSAULT OFFENSES,Aggravated Assault,13A,SLU/CASCADE,-122.330439526,47.6236993,2020.0,12.0,2.0,8.0,5.0,"516, Yale Avenue North, South Lake Union, First Hill, Seattle, King County, Washington, 98109, United States",98109
2020-333664,12/02/2020 09:49:29 AM,ASSAULT OFFENSES,Intimidation,13C,BALLARD SOUTH,-122.378881481,47.67236312,2020.0,12.0,1.0,12.0,0.0,"Ballard, Seattle, King County, Washington, United States",
2020-333559,12/02/2020 09:01:31 AM,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,LAKECITY,-122.286308761,47.7200738,2020.0,12.0,2.0,8.0,0.0,"12532, 39th Avenue Northeast, Cedar Park, Lake City, Seattle, King County, Washington, 98125, United States",98125
2020-333613,12/02/2020 08:51:49 AM,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,MONTLAKE/PORTAGE BAY,-122.301937237,47.6391218,2020.0,12.0,2.0,6.0,0.0,"2200, 24th Avenue East, Montlake, Washington Park, Seattle, King County, Washington, 98112, United States",98112
