Offense Parent Group,MCPP,Zipcode,Zip Code,Population,Avg. Income/H/hold
ASSAULT OFFENSES,MONTLAKE/PORTAGE BAY,98112,98112,"20,480","$59,693.00"
ASSAULT OFFENSES,MILLER PARK,98112,98112,"20,480","$59,693.00"
MOTOR VEHICLE THEFT,CAPITOL HILL,98112,98112,"20,480","$59,693.00"
DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,MONTLAKE/PORTAGE BAY,98112,98112,"20,480","$59,693.00"
TRESPASS OF REAL PROPERTY,CAPITOL HILL,98112,98112,"20,480","$59,693.00"
ASSAULT OFFENSES,MILLER PARK,98112,98112,"20,480","$59,693.00"
LARCENY-THEFT,MONTLAKE/PORTAGE BAY,98112,98112,"20,480","$59,693.00"
LARCENY-THEFT,MONTLAKE/PORTAGE BAY,98112,98112,"20,480","$59,693.00"
LARCENY-THEFT,MADISON PARK,98112,98112,"20,480","$59,693.00"
LARCENY-THEFT,MILLER PARK,98112,98112,"20,480","$59,693.00"
BURGLARY/BREAKING&ENTERING,MILLER PARK,98112,98112,"20,480","$59,693.00"
LARCENY-THEFT,MONTLAKE/PORTAGE BAY,98112,98112,"20,480","$59,693.00"
LARCENY-THEFT,CAPITOL HILL,98112,98112,"20,480","$59,693.00"
FRAUD OFFENSES,MILLER PARK,98112,98112,"20,480","$59,693.00"
BURGLARY/BREAKING&ENTERING,MILLER PARK,98112,98112,"20,480","$59,693.00"
DRIVING UNDER THE INFLUENCE,MILLER PARK,98112,98112,"20,480","$59,693.00"
DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,MILLER PARK,98112,98112,"20,480","$59,693.00"
DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,MILLER PARK,98112,98112,"20,480","$59,693.00"
LARCENY-THEFT,MADISON PARK,98112,98112,"20,480","$59,693.00"
BURGLARY/BREAKING&ENTERING,MONTLAKE/PORTAGE BAY,98112,98112,"20,480","$59,693.00"
LARCENY-THEFT,MILLER PARK,98112,98112,"20,480","$59,693.00"
LARCENY-THEFT,MILLER PARK,98112,98112,"20,480","$59,693.00"
LARCENY-THEFT,MONTLAKE/PORTAGE BAY,98112,98112,"20,480","$59,693.00"
FRAUD OFFENSES,MILLER PARK,98112,98112,"20,480","$59,693.00"
ASSAULT OFFENSES,MILLER PARK,98112,98112,"20,480","$59,693.00"
MOTOR VEHICLE THEFT,MILLER PARK,98112,98112,"20,480","$59,693.00"
ASSAULT OFFENSES,MILLER PARK,98112,98112,"20,480","$59,693.00"
LARCENY-THEFT,MADRONA/LESCHI,98112,98112,"20,480","$59,693.00"
LARCENY-THEFT,CENTRAL AREA/SQUIRE PARK,98112,98112,"20,480","$59,693.00"
LARCENY-THEFT,MADISON PARK,98112,98112,"20,480","$59,693.00"
LARCENY-THEFT,CENTRAL AREA/SQUIRE PARK,98112,98112,"20,480","$59,693.00"
LARCENY-THEFT,MONTLAKE/PORTAGE BAY,98112,98112,"20,480","$59,693.00"
BURGLARY/BREAKING&ENTERING,MILLER PARK,98112,98112,"20,480","$59,693.00"
FRAUD OFFENSES,CAPITOL HILL,98112,98112,"20,480","$59,693.00"
LARCENY-THEFT,MILLER PARK,98112,98112,"20,480","$59,693.00"
BURGLARY/BREAKING&ENTERING,MADISON PARK,98112,98112,"20,480","$59,693.00"
BURGLARY/BREAKING&ENTERING,MONTLAKE/PORTAGE BAY,98112,98112,"20,480","$59,693.00"
ROBBERY,CENTRAL AREA/SQUIRE PARK,98112,98112,"20,480","$59,693.00"
FRAUD OFFENSES,MADISON PARK,98112,98112,"20,480","$59,693.00"
MOTOR VEHICLE THEFT,CAPITOL HILL,98112,98112,"20,480","$59,693.00"
LARCENY-THEFT,MONTLAKE/PORTAGE BAY,98112,98112,"20,480","$59,693.00"
ROBBERY,MADISON PARK,98112,98112,"20,480","$59,693.00"
BURGLARY/BREAKING&ENTERING,MONTLAKE/PORTAGE BAY,98112,98112,"20,480","$59,693.00"
BURGLARY/BREAKING&ENTERING,MILLER PARK,98112,98112,"20,480","$59,693.00"
LARCENY-THEFT,MILLER PARK,98112,98112,"20,480","$59,693.00"
