Zipcode,Population,Avg. Income/H/hold,MCPP,Incident count,Crime Rate
98101,9010.0,26995.0,BELLTOWN,11,122.0865704772475
98101,9010.0,26995.0,CAPITOL HILL,4,44.39511653718091
98101,9010.0,26995.0,DOWNTOWN COMMERCIAL,72,799.1120976692564
98101,9010.0,26995.0,EASTLAKE - WEST,1,11.098779134295228
98101,9010.0,26995.0,FIRST HILL,19,210.8768035516093
98101,9010.0,26995.0,SLU/CASCADE,35,388.457269700333
98102,19424.0,41850.0,CAPITOL HILL,108,556.013179571664
98102,19424.0,41850.0,EASTLAKE - EAST,4,20.59308072487644
98102,19424.0,41850.0,EASTLAKE - WEST,47,241.96869851729818
98102,19424.0,41850.0,MONTLAKE/PORTAGE BAY,24,123.55848434925863
98103,41971.0,49044.0,FREMONT,85,202.5207881632556
98103,41971.0,49044.0,GREENWOOD,56,133.4254604369684
98103,41971.0,49044.0,NORTHGATE,17,40.504157632651115
98103,41971.0,49044.0,PHINNEY RIDGE,54,128.66026542136237
98103,41971.0,49044.0,ROOSEVELT/RAVENNA,49,116.74727788234733
98103,41971.0,49044.0,WALLINGFORD,91,216.81637321007364
98104,13095.0,16205.0,CAPITOL HILL,1,7.636502481863306
98104,13095.0,16205.0,CHINATOWN/INTERNATIONAL DISTRICT,97,740.7407407407408
98104,13095.0,16205.0,DOWNTOWN COMMERCIAL,38,290.18709431080566
98104,13095.0,16205.0,FIRST HILL,77,588.0106911034746
98104,13095.0,16205.0,JUDKINS PARK/NORTH BEACON HILL,2,15.273004963726612
98104,13095.0,16205.0,PIONEER SQUARE,37,282.55059182894234
98104,13095.0,16205.0,SLU/CASCADE,1,7.636502481863306
98104,13095.0,16205.0,UNKNOWN,1,7.636502481863306
98105,38963.0,40246.0,ROOSEVELT/RAVENNA,39,100.09496188691837
98105,38963.0,40246.0,SANDPOINT,28,71.86304955983883
98105,38963.0,40246.0,UNIVERSITY,204,523.5736467931115
98105,38963.0,40246.0,WALLINGFORD,35,89.82881194979853
98106,23317.0,40815.0,HIGH POINT,25,107.2179096796329
98106,23317.0,40815.0,HIGHLAND PARK,77,330.2311618132693
98106,23317.0,40815.0,NORTH DELRIDGE,31,132.95020800274477
98106,23317.0,40815.0,PIGEON POINT,3,12.866149161555946
98106,23317.0,40815.0,ROXHILL/WESTWOOD/ARBOR HEIGHTS,16,68.61946219496505
98106,23317.0,40815.0,SOUTH DELRIDGE,29,124.37277522837414
98106,23317.0,40815.0,SOUTH PARK,1,4.288716387185316
98107,18516.0,42195.0,BALLARD SOUTH,230,1242.1689349751566
98107,18516.0,42195.0,FREMONT,30,162.02203499675957
